Epoch,F1 Score,Accuracy,Precision,Recall
10,0.059425500426979555,0.101875,0.09668824168766232,0.1031081725332307
15,0.12670828747917443,0.1625,0.205126776270812,0.1618962653718428
20,0.02880834390086987,0.055625,0.05695913787717023,0.060447074410461134
28,0.3130737230651805,0.32125,0.40069914718217,0.32779193076670365
40,0.3491926696792975,0.36,0.43579720905236774,0.3614464665163028
42,0.3731709162464093,0.403125,0.43376789376965413,0.401647209281397
44,0.3303778283289304,0.359375,0.4267601712457708,0.35361572316383183
46,0.3551035583824479,0.38125,0.45701928590081126,0.37771204099061334
47,0.3641722652453694,0.376875,0.4262747214119469,0.3834716551980111
58,0.4259957261060768,0.449375,0.454825345409466,0.4440406966094508
60,0.3425212026961036,0.36125,0.4306654083445264,0.3711182235948672
80,0.4547660699058564,0.46625,0.4853692935014837,0.47094424813874997
100,0.4845078316960304,0.50125,0.4972850580988552,0.5031721576280451
103,0.512062956740747,0.526875,0.5244108627195481,0.5272804609458551
115,0.5139575299455142,0.529375,0.5334790941560519,0.5332488985959596
120,0.5383515162747817,0.55125,0.5566060617502064,0.5591626867808898
140,0.536324135325692,0.555,0.5536930854674593,0.5463185514772568
160,0.49979707723977307,0.51375,0.5035919621416961,0.5204737765765057
180,0.5390306479635388,0.560625,0.5504983522866245,0.5550979031782294
200,0.5552669678219453,0.571875,0.5717877882567467,0.5709021487996552
220,0.5376133223885609,0.55,0.5535113412198441,0.552761127631787
240,0.5483587861292955,0.5675,0.5503619589805406,0.5666903579701271
260,0.5584507258654734,0.57375,0.5635616653541436,0.5737858565034049
280,0.5339403715159422,0.5525,0.540846475800298,0.5472895252861502
300,0.5301415512965055,0.553125,0.5401586837740525,0.5479473737902634
320,0.5449749260766967,0.56375,0.5553501979721072,0.5601000682925916
340,0.5286458525326444,0.545,0.5398622515659285,0.5453461134627988
360,0.5544000168099836,0.5675,0.5668233735897864,0.5711110510210031
380,0.5368660305351036,0.548125,0.5502877228343138,0.5524203834056751
400,0.5370118817252285,0.554375,0.5465715053590592,0.5521960869574023
420,0.5312320891444993,0.54375,0.5436134466364494,0.5502177337110286
440,0.5416827530678888,0.56125,0.5457835247383018,0.5560964695188726
460,0.5431281135306582,0.551875,0.5508823011431861,0.5640245669970669
480,0.5549939097424275,0.573125,0.5641976637138767,0.567720635016954
