Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.0012406015037593984,0.015,0.0006548856548856549,0.015
7,0.0009876543209876543,0.02,0.0005063291139240507,0.02
8,0.0019938080495356036,0.025,0.0010701630049610206,0.025
9,0.018802867383512542,0.05,0.02299922933949862,0.05
10,0.03939250974126089,0.08,0.03292471939558053,0.08
11,0.05699999460613271,0.09,0.07123757232913686,0.09
12,0.012874902874902873,0.035,0.01068733850129199,0.035
13,0.10273336370404115,0.155,0.11030963188857924,0.155
14,0.05061333333333333,0.07,0.0736611570247934,0.07
15,0.031334243970936065,0.09,0.02512520302281443,0.09
16,0.062411392672368275,0.11,0.06696517264874263,0.11
17,0.0354720695970696,0.06,0.05442080907598149,0.06
18,0.07722222222222222,0.11,0.10193696700037078,0.11
19,0.023508771929824562,0.035,0.05043010752688172,0.035
20,0.07139682539682539,0.085,0.10060038986354776,0.085
21,0.046014284860771665,0.09,0.07006112500860345,0.09
22,0.04911400411885849,0.09,0.07397474747474747,0.09
23,0.1723187664850069,0.23,0.20176350893688358,0.23
24,0.1475044046604149,0.2,0.18586883292146453,0.2
25,0.18498976864766337,0.24,0.2268558271793566,0.24
26,0.07937125109351703,0.12,0.09297179445455309,0.12
27,0.21494089602154115,0.255,0.2870447401182695,0.255
28,0.15237892860493482,0.195,0.17804389202805745,0.195
29,0.2599600081646118,0.31,0.31160882311880495,0.31
30,0.21490774090774092,0.265,0.24794516594516594,0.265
31,0.18226917205178073,0.22,0.23977194669421753,0.22
32,0.18777344877344876,0.215,0.2550063661828368,0.215
33,0.13978588078588078,0.18,0.17209375777479224,0.18
34,0.1379149247577819,0.195,0.18080158730158732,0.195
35,0.2132074433503005,0.255,0.2607030651340996,0.255
36,0.16823451567352496,0.24,0.1616050326485109,0.24
37,0.16775675435675438,0.225,0.2236298701298701,0.225
38,0.11660138010138009,0.17,0.16687553732816887,0.17
39,0.20043248997748148,0.215,0.27483141608703404,0.215
40,0.18124362526741045,0.235,0.22227782857874392,0.235
41,0.25101157081652437,0.29,0.2860861396667848,0.29
42,0.2928998778998779,0.32,0.32450937950937947,0.32
43,0.2709128410707358,0.305,0.3360930735930736,0.305
44,0.29224464424464425,0.32,0.353484126984127,0.32
45,0.3538145188145188,0.375,0.46017761650114586,0.375
46,0.3136196581196581,0.33,0.3879242424242424,0.33
47,0.3522509712509712,0.38,0.3868138528138529,0.38
48,0.3583466124518756,0.38,0.4309884559884559,0.38
49,0.37077100677100683,0.38,0.45949747474747477,0.38
50,0.2953709602766207,0.305,0.3599151205936921,0.305
51,0.32791250731250726,0.335,0.4413658008658008,0.335
52,0.3374105121931209,0.37,0.39381586542112856,0.37
53,0.3426605339105339,0.36,0.41703463203463204,0.36
54,0.32396425570279563,0.35,0.3929273689273689,0.35
55,0.33068163076312485,0.365,0.39336507936507936,0.365
56,0.3331686418157006,0.355,0.3809102564102564,0.355
57,0.3400937441643323,0.365,0.4117974574445163,0.365
58,0.2912929292929293,0.32,0.3423641069075852,0.32
59,0.2763063953590269,0.305,0.3296255411255411,0.305
60,0.37694246104772416,0.395,0.4549126984126984,0.395
61,0.3084613861084449,0.335,0.34816598136163357,0.335
62,0.3407092907092907,0.365,0.3897539682539682,0.365
63,0.37970396270396267,0.405,0.4067380952380952,0.405
64,0.39037606837606836,0.42,0.41887301587301584,0.42
65,0.43391952491952496,0.455,0.47869841269841273,0.455
