Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.002951824004455583,0.025,0.0017657657657657658,0.025
3,0.000784313725490196,0.02,0.0004,0.02
4,0.0007920792079207921,0.02,0.0004040404040404041,0.02
5,0.00527836804079898,0.03,0.003066255778120185,0.03
6,0.017291666666666664,0.035,0.017819148936170214,0.035
7,0.013291005291005291,0.035,0.023289575289575287,0.035
8,0.008792079207920793,0.025,0.020404040404040404,0.025
9,0.008837696335078533,0.025,0.02042780748663102,0.025
10,0.0088,0.025,0.020408163265306124,0.025
11,0.010385436283741369,0.03,0.021331992963056042,0.03
12,0.0008290155440414508,0.02,0.00042328042328042324,0.02
13,0.018852543357397725,0.045,0.018095238095238095,0.045
14,0.016345864661654136,0.03,0.028113407525172232,0.03
15,0.00432601880877743,0.02,0.003210084033613445,0.02
16,0.007915343915343915,0.035,0.005560268646164723,0.035
17,0.012517730496453898,0.03,0.015434782608695652,0.03
18,0.000864864864864865,0.02,0.0004419889502762431,0.02
19,0.013479712378017462,0.04,0.01003385631709331,0.04
20,0.026374085684430507,0.045,0.034438842203548085,0.045
21,0.02028418640183346,0.035,0.033770491803278686,0.035
22,0.015235684147076553,0.035,0.024671135316296607,0.035
23,0.018516569637259294,0.055,0.013112923744668114,0.055
24,0.022534047149431764,0.05,0.023093544137022394,0.05
25,0.026041733547351526,0.04,0.040459770114942534,0.04
26,0.04108036025277404,0.065,0.054971316773224324,0.065
27,0.031635531135531136,0.055,0.05335421888053467,0.055
28,0.020404370909988888,0.04,0.021015325670498082,0.04
29,0.01590395480225989,0.035,0.01796242774566474,0.035
30,0.040025396825396825,0.06,0.05875355054302423,0.06
31,0.02549869178440607,0.05,0.034377622377622374,0.05
32,0.03284395604395605,0.055,0.043138231631382314,0.055
33,0.03089782369971049,0.06,0.040588592800374,0.06
34,0.04740203781231481,0.07,0.06570521541950113,0.07
35,0.03656796536796537,0.06,0.04830333409280778,0.06
36,0.03433356186297363,0.06,0.040862880091795756,0.06
37,0.03491954022988506,0.055,0.05592513368983956,0.055
38,0.042823529411764705,0.06,0.06999145820622331,0.06
39,0.03672194098036795,0.06,0.04789886480908152,0.06
40,0.03839859649122807,0.06,0.04167233835683033,0.06
41,0.05727108523660248,0.085,0.08643717728055078,0.085
42,0.04086974789915967,0.06,0.0638152610441767,0.06
43,0.06424531024531026,0.09,0.10172559604138552,0.09
44,0.04000432900432901,0.055,0.05546511627906977,0.055
45,0.07227990750882317,0.09,0.0991130130418105,0.09
46,0.07829216981848561,0.095,0.10473101673101674,0.095
47,0.08031736764764286,0.105,0.10040476190476191,0.105
48,0.07832135895293789,0.11,0.0777318044274566,0.11
49,0.07135214853975916,0.095,0.10156727828746177,0.095
50,0.03804195804195804,0.065,0.04346282372598163,0.065
51,0.04399041629230308,0.065,0.05730400782013685,0.065
52,0.09086978597726261,0.13,0.10271087269859398,0.13
53,0.062379401692834534,0.09,0.09105275443510738,0.09
54,0.09358328536894209,0.11,0.13801209823040808,0.11
55,0.07080319680319681,0.1,0.09537085137085137,0.1
56,0.06683201712550507,0.095,0.09361826981246218,0.095
57,0.055603101286950285,0.09,0.05941880341880342,0.09
58,0.06516089645121903,0.095,0.0827878787878788,0.095
59,0.0854811548381729,0.09,0.12833790304891424,0.09
60,0.06447522847522848,0.08,0.10140433781655155,0.08
61,0.09982347282347283,0.125,0.12154700854700855,0.125
62,0.13275417175417176,0.165,0.13817347386912604,0.165
63,0.05421645021645022,0.085,0.05490872718179544,0.085
64,0.0855960640666523,0.1,0.13218774689362925,0.1
65,0.12914106873518638,0.17,0.13959568615666174,0.17
