Epoch,F1 Score,Accuracy,Precision,Recall
0,0.0008376963350785341,0.02,0.000427807486631016,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.007642135642135642,0.03,0.007687804878048781,0.03
4,0.0007881773399014779,0.02,0.0004020100502512563,0.02
5,0.00675214258109982,0.05,0.0036995492388089317,0.05
6,0.0032498743086978384,0.04,0.0016956189227575658,0.04
7,0.0059677404255717515,0.035,0.004071436572836819,0.035
8,0.005555555555555556,0.025,0.004571428571428572,0.025
9,0.003879310344827586,0.025,0.0023809523809523807,0.025
10,0.0007881773399014779,0.02,0.0004020100502512563,0.02
11,0.006710114865618379,0.05,0.0036062927271229717,0.05
12,0.03357960419940333,0.075,0.038521116354449686,0.075
13,0.03210738384422595,0.06,0.03175299506694856,0.06
14,0.015451137040541013,0.05,0.015477551020408162,0.05
15,0.0041025641025641026,0.04,0.0021929824561403508,0.04
16,0.02911732306141551,0.075,0.03870916405673109,0.075
17,0.16151443272344398,0.215,0.20981084806666203,0.215
18,0.03163366261750642,0.095,0.03461633093986036,0.095
19,0.12057138572928046,0.19,0.12761806224466068,0.19
20,0.12195539135194307,0.185,0.1469508187464709,0.185
21,0.0792268305171531,0.12,0.07596778263110773,0.12
22,0.03751526350593288,0.095,0.04037405766970984,0.095
23,0.02888819498655564,0.07,0.036724126511505785,0.07
24,0.020627373224454557,0.07,0.016235384341002315,0.07
25,0.02922846035859734,0.07,0.03024041717459027,0.07
26,0.000784313725490196,0.02,0.0004,0.02
27,0.000784313725490196,0.02,0.0004,0.02
28,0.10427053396803627,0.16,0.12987206670088575,0.16
29,0.2866976553979515,0.355,0.29231903184534763,0.355
30,0.13148418248418248,0.175,0.13408840708840708,0.175
31,0.10609046859573176,0.17,0.11473009849100929,0.17
32,0.15154190317378174,0.215,0.20163725968073792,0.215
33,0.1831185474829854,0.25,0.21795027195027195,0.25
34,0.1706143825215033,0.24,0.18027205843318372,0.24
35,0.10827986633249792,0.165,0.11678794591704224,0.165
36,0.2255314213493242,0.295,0.2417581453634085,0.295
37,0.17751787467576943,0.225,0.2021687370600414,0.225
38,0.040182441214699285,0.07,0.06681551561021759,0.07
39,0.16699261522790934,0.21,0.22882323232323235,0.21
40,0.1905785978727155,0.255,0.23089510895608456,0.255
41,0.3081463856405033,0.365,0.36503097882509644,0.365
42,0.3311712842712842,0.34,0.42954010695187167,0.34
43,0.2076763245114818,0.24,0.30696308289411733,0.24
44,0.1674105900424686,0.185,0.23978988603988605,0.185
45,0.3485246137778107,0.395,0.42005210140736454,0.395
46,0.32568264484053955,0.38,0.3857754435107376,0.38
47,0.3065263712133277,0.36,0.3750457595601908,0.36
48,0.37029619139030906,0.405,0.4524292896645838,0.405
