Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.000784313725490196,0.02,0.0004,0.02
7,0.000784313725490196,0.02,0.0004,0.02
8,0.033518985079960685,0.07,0.03622530474989492,0.07
9,0.019021984551396316,0.045,0.016196213425129086,0.045
10,0.010138086062941554,0.035,0.00796372523797273,0.035
11,0.001437908496732026,0.02,0.000748663101604278,0.02
12,0.0029980276134122285,0.03,0.0016277056277056276,0.03
13,0.000784313725490196,0.02,0.0004,0.02
14,0.011848840814358054,0.035,0.010899349092154847,0.035
15,0.04569158540989527,0.075,0.05058559262862019,0.075
16,0.02494391476982062,0.07,0.031120616834262115,0.07
17,0.1236681820594864,0.175,0.1220051867637007,0.175
18,0.02998635441275941,0.075,0.03491151883951072,0.075
19,0.01715808383233533,0.045,0.025728892784107508,0.045
20,0.04150980108860496,0.085,0.046809898785631854,0.085
21,0.04899985883681536,0.095,0.0593359250398724,0.095
22,0.037717169355467234,0.065,0.07005363857553638,0.065
23,0.03865705393268419,0.09,0.055475479710830895,0.09
24,0.10330128351180981,0.14,0.134408072319837,0.14
25,0.013142292490118578,0.035,0.01115873015873016,0.035
26,0.018913163385213073,0.075,0.01409781707654048,0.075
27,0.11630030475249158,0.155,0.15279206906643253,0.155
28,0.10260019567635666,0.145,0.11467987411649386,0.145
29,0.19562908607826937,0.24,0.23888809523809523,0.24
30,0.26587678987678987,0.29,0.36407539682539686,0.29
31,0.09251365777080062,0.145,0.11494496204278815,0.145
32,0.16255308282443615,0.23,0.17604543409806567,0.23
33,0.1542543479911901,0.205,0.1657577946649154,0.205
34,0.2724309024309024,0.29,0.35794807682738716,0.29
35,0.10661583151779229,0.145,0.13387229437229436,0.145
36,0.24678809894938925,0.275,0.3393655603655604,0.275
37,0.22467945487012422,0.275,0.2693160839160839,0.275
38,0.24431286491286489,0.3,0.2990711951447245,0.3
39,0.05921875311389378,0.115,0.06795990256440819,0.115
40,0.06258845174952885,0.105,0.0750480735242135,0.105
41,0.13136499159801052,0.175,0.18177525336720385,0.175
42,0.22988819532869875,0.27,0.28550417710944026,0.27
43,0.15067557271399537,0.21,0.1966503124461127,0.21
44,0.12993251193251193,0.195,0.1449863331113331,0.195
45,0.2586476954418131,0.315,0.31145362970362966,0.315
46,0.22334911908015354,0.27,0.27210396825396826,0.27
47,0.1580312520812521,0.22,0.2005079365079365,0.22
48,0.16644748519454403,0.21,0.21058916900093372,0.21
49,0.13636491454296606,0.19,0.16347951273532668,0.19
50,0.2436840579710145,0.285,0.3134674185463659,0.285
51,0.29759618029029794,0.32,0.3930336789647134,0.32
52,0.18080015794769896,0.21,0.2398435236933689,0.21
53,0.2220781550616633,0.265,0.24762984577431038,0.265
54,0.20997062980243755,0.24,0.2868395989974937,0.24
55,0.3961346431346431,0.41,0.48417052881758754,0.41
56,0.12805094130675523,0.165,0.16059682187730967,0.165
57,0.15437240537240535,0.21,0.1598535353535354,0.21
58,0.10366870432044005,0.145,0.13334554842919255,0.145
59,0.13778584719374196,0.2,0.1545238095238095,0.2
60,0.21169219016277835,0.25,0.27917815517815514,0.25
61,0.27041077441077443,0.3,0.35171180404329616,0.3
62,0.2287287751733168,0.275,0.29390581348476086,0.275
63,0.1566838716838717,0.215,0.21054492256672785,0.215
64,0.2559668340449273,0.285,0.3203113768584357,0.285
65,0.1530568759405969,0.185,0.23177608992314874,0.185
