Epoch,F1 Score,Accuracy,Precision,Recall
10,0.005710331252114539,0.026875,0.00459192439862543,0.02529411764705882
11,0.007749172096998185,0.02625,0.021326797385620915,0.024449760765550235
12,0.006606341649579621,0.02375,0.03042416452442159,0.023322222222222223
19,0.01892234071176715,0.03375,0.05770898292120702,0.033354664469850935
20,0.026909311955415502,0.041875,0.06510543278991596,0.04092291428527799
22,0.02595087416147853,0.038125,0.07824527594156533,0.03926710448167467
26,0.03773513044874561,0.0625,0.06045319376176085,0.06775979065060568
40,0.06140149857561353,0.07375,0.13062531253095405,0.0701939928077071
41,0.06421708144629633,0.08625,0.08890573767673335,0.08943790314326941
43,0.06265360602501724,0.0825,0.1736155412838025,0.08136209498258833
55,0.11564278248433131,0.1325,0.22320745096528,0.13463810455466652
60,0.05089343897426859,0.06,0.16397863969658785,0.055777824413767434
64,0.11917762274220375,0.125,0.26474932400516143,0.11874794199317915
73,0.1296223548145144,0.12875,0.22354314997322663,0.13430661746118053
75,0.18499032172407223,0.183125,0.2810607882754489,0.18410289726451443
80,0.0885244084105074,0.086875,0.26065295815295814,0.08197722842411188
99,0.17905227542092786,0.1875,0.27466128620121993,0.18241632110423855
100,0.1758780041478696,0.186875,0.36956454930130006,0.18765261502525998
102,0.16872191755092494,0.175,0.2771714079176728,0.17522726393137078
103,0.21577014719651566,0.22375,0.36298098340360047,0.22240467143985274
115,0.2373086700487361,0.248125,0.3184226725957453,0.25689300504427265
120,0.22641235618060637,0.229375,0.3348780139570978,0.2381222389870793
129,0.26565304014263097,0.2775,0.33770426008239324,0.27507120165894267
132,0.2656261724392966,0.26875,0.39529034318691325,0.274553490267089
140,0.18131756616684627,0.183125,0.2885742770740588,0.18995733996706982
144,0.31412273611414493,0.334375,0.3574920175786644,0.33642789056530215
145,0.266914359334043,0.27625,0.34339123499905144,0.2867677476206152
160,0.28912533203770907,0.290625,0.37426477897663446,0.30081686164982335
180,0.2720050678536257,0.285,0.3307695289257498,0.2877708680267946
200,0.2929981386813948,0.29625,0.3531650932250694,0.29645255289662553
220,0.32141830918975633,0.32625,0.38666826724971926,0.3326010793395772
240,0.23518366790912765,0.2425,0.3394950119833606,0.2373115591496899
260,0.33232355167832145,0.3475,0.36434251754375013,0.34900680998378514
280,0.32230825347132935,0.331875,0.367846776545315,0.32970000844316466
300,0.27064381474856813,0.275,0.3487020110252442,0.28088805417072576
320,0.26446410333593295,0.265,0.3665709311729804,0.2663902952901061
331,0.3190923693540064,0.32375,0.37926783062813796,0.3264897181374766
340,0.249092034414769,0.25875,0.3362790034571967,0.26076735666011136
360,0.3168696055458653,0.335625,0.3519417841294621,0.33361066403147255
374,0.323602803421872,0.335625,0.3859588711229782,0.3309009322746761
380,0.2259939377711098,0.2225,0.3170795590543601,0.23404263488037602
400,0.28435444791612036,0.285625,0.3772103202684074,0.2891223644104398
420,0.31480282630667544,0.32625,0.36371417613469154,0.32632285695918367
440,0.29499937388519004,0.3025,0.3520612451193663,0.30464056523650435
460,0.2819675042592703,0.28125,0.3721176257708772,0.2932214844566454
480,0.2929339562953864,0.299375,0.36111210763893775,0.29395312380595395
