Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.0007920792079207921,0.02,0.0004040404040404041,0.02
2,0.0007960199004975124,0.02,0.0004060913705583756,0.02
3,0.0009580838323353294,0.02,0.00049079754601227,0.02
4,0.0007881773399014779,0.02,0.0004020100502512563,0.02
5,0.007466666666666666,0.025,0.010408163265306122,0.025
6,0.005846560846560846,0.025,0.005432432432432433,0.025
7,0.0007881773399014779,0.02,0.0004020100502512563,0.02
8,0.0008,0.02,0.0004081632653061224,0.02
9,0.0008040201005025126,0.02,0.00041025641025641023,0.02
10,0.0032884283246977547,0.02,0.0021356421356421356,0.02
11,0.008638297872340425,0.02,0.020326086956521737,0.02
12,0.016618556701030927,0.025,0.04031578947368421,0.025
13,0.005759493670886076,0.02,0.0053896103896103895,0.02
14,0.008869565217391304,0.025,0.020444444444444442,0.025
15,0.01460266601443072,0.04,0.023810606060606063,0.04
16,0.013681818181818182,0.035,0.023348837209302323,0.035
17,0.0008333333333333333,0.02,0.000425531914893617,0.02
18,0.0009090909090909091,0.02,0.0004651162790697674,0.02
19,0.027586206896551727,0.045,0.04047058823529412,0.045
20,0.035408299866131185,0.05,0.044493827160493826,0.05
21,0.02612655971479501,0.06,0.02061627783104293,0.06
22,0.04394221081646231,0.055,0.0718241308793456,0.055
23,0.035678039458527266,0.06,0.04447710622710623,0.06
24,0.031047468906420076,0.07,0.039251063829787235,0.07
25,0.01904433497536946,0.04,0.016060784313725488,0.04
26,0.054815885264161125,0.095,0.04742509241139379,0.095
27,0.014620356488422455,0.045,0.010310483655948381,0.045
28,0.021058918482647297,0.04,0.04307814992025518,0.04
29,0.021575757575757578,0.035,0.018227678571428572,0.035
30,0.017311475409836064,0.03,0.04067796610169491,0.03
31,0.009991208791208791,0.04,0.006440058479532163,0.04
32,0.020825569671304698,0.04,0.01680851063829787,0.04
33,0.008430232558139534,0.03,0.007142857142857143,0.03
34,0.009295369571469658,0.04,0.0057802607076350085,0.04
35,0.01823682655897421,0.035,0.01679474548440066,0.035
36,0.020573057094367412,0.05,0.015472482527697251,0.05
