Epoch,F1 Score,Accuracy,Precision,Recall
0,0.0007881773399014779,0.02,0.0004020100502512563,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.000784313725490196,0.02,0.0004,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.0007920792079207921,0.02,0.0004040404040404041,0.02
7,0.008788177339901478,0.025,0.02040201005025126,0.025
8,0.004202898550724638,0.03,0.002444444444444445,0.03
9,0.004698412698412698,0.03,0.002807486631016043,0.03
10,0.019444444444444445,0.06,0.026689655172413795,0.06
11,0.006823282772228387,0.035,0.0042180521091811415,0.035
12,0.029430006277463904,0.08,0.021857272780613737,0.08
13,0.04971897220426632,0.115,0.046255317781633574,0.115
14,0.07842307319382419,0.115,0.09256687756687755,0.115
15,0.059595223400968955,0.12,0.07381768231768232,0.12
16,0.12611919000007224,0.165,0.14981095780688836,0.165
17,0.03891678273185122,0.085,0.04405590062111801,0.085
18,0.01611653211653212,0.065,0.011095890410958905,0.065
19,0.012385832004253057,0.06,0.007179072959560765,0.06
20,0.06950153171636547,0.12,0.09063242267034836,0.12
21,0.019863945578231294,0.04,0.019083333333333334,0.04
22,0.011907669396872673,0.055,0.007508866442199775,0.055
23,0.004537150647580096,0.04,0.0024543641662831722,0.04
24,0.04215384615384615,0.05,0.07041884816753927,0.05
25,0.03919836762789783,0.07,0.06089931772081874,0.07
26,0.007495682210708117,0.025,0.010423280423280423,0.025
27,0.007462686567164178,0.025,0.010406091370558375,0.025
28,0.05668050468050468,0.09,0.057924968474148804,0.09
29,0.25555101705414596,0.305,0.32371577647159044,0.305
30,0.05244444444444445,0.1,0.04992775041050902,0.1
31,0.18700596702918684,0.22,0.29698882490058964,0.22
32,0.28431896418993197,0.345,0.3108171828171828,0.345
33,0.04076265077409242,0.07,0.03854580249072293,0.07
34,0.27548435706020846,0.32,0.33414964447317386,0.32
35,0.2860388982997678,0.325,0.33294721944721944,0.325
36,0.2851145667198298,0.3,0.3746168831168831,0.3
37,0.05413703943115708,0.09,0.07371177841766077,0.09
38,0.057818812512176354,0.09,0.07142063087346105,0.09
39,0.148145897880436,0.205,0.20772630694114066,0.205
40,0.04904727019012733,0.1,0.046828253844035765,0.1
41,0.18670261311990138,0.245,0.22531091923949062,0.245
42,0.09177251971772521,0.125,0.13588198757763975,0.125
43,0.3082885632885633,0.33,0.4252794304602085,0.33
44,0.13473358536887947,0.195,0.1521875901875902,0.195
45,0.2738620696663436,0.285,0.3907940298507463,0.285
46,0.31318352699931645,0.375,0.367610644257703,0.375
47,0.3961096552167333,0.435,0.47799812409812403,0.435
48,0.33113677313677314,0.33,0.43714285714285717,0.33
49,0.32842627420888293,0.37,0.37836492747019057,0.37
50,0.3736562618667882,0.415,0.4456688311688312,0.415
51,0.2369361576675818,0.275,0.28095729270729275,0.275
52,0.43489345449871764,0.46,0.5268744588744589,0.46
53,0.3229137295453085,0.345,0.4426478227654698,0.345
54,0.20643478743478746,0.235,0.27369841269841266,0.235
