Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.000784313725490196,0.02,0.0004,0.02
2,0.000784313725490196,0.02,0.0004,0.02
3,0.000784313725490196,0.02,0.0004,0.02
4,0.0022557377049180326,0.02,0.0012875764831072093,0.02
5,0.000784313725490196,0.02,0.0004,0.02
6,0.008792079207920793,0.025,0.020404040404040404,0.025
7,0.008788177339901478,0.025,0.02040201005025126,0.025
8,0.007458745874587458,0.025,0.010404040404040405,0.025
9,0.000784313725490196,0.02,0.0004,0.02
10,0.004285714285714285,0.035,0.0023628048780487804,0.035
11,0.0007881773399014779,0.02,0.0004020100502512563,0.02
12,0.013202507232401158,0.05,0.02277804901865052,0.05
13,0.013450124904393679,0.06,0.00902280698025379,0.06
14,0.007458745874587458,0.025,0.010404040404040405,0.025
15,0.015772866789441373,0.045,0.012201977401129945,0.045
16,0.014427360856891058,0.04,0.02390886699507389,0.04
17,0.03294832258667414,0.07,0.03015375038904451,0.07
18,0.0088,0.025,0.020408163265306124,0.025
19,0.006510305614783226,0.025,0.007072758037225042,0.025
20,0.019513227513227514,0.04,0.02406879606879607,0.04
21,0.016796019900497516,0.03,0.040406091370558374,0.03
22,0.024906229688032938,0.05,0.03652735185805156,0.05
23,0.05376164920350966,0.08,0.07690621097433545,0.08
24,0.13474357805137557,0.15,0.19137659673659677,0.15
25,0.023134914978108136,0.045,0.035414808206958075,0.045
26,0.02817682970624147,0.055,0.03712081659973226,0.055
27,0.10847688060731539,0.13,0.15403640886476708,0.13
28,0.08912351586035797,0.135,0.12763656633221848,0.135
29,0.0043160313598269795,0.035,0.0023801598858807097,0.035
30,0.1283910932155207,0.13,0.22101639468979417,0.13
31,0.020613412228796847,0.045,0.03348484848484848,0.045
32,0.027835634451019064,0.055,0.03556818181818182,0.055
33,0.029317748012415143,0.06,0.03174029611844738,0.06
34,0.04620013802622498,0.065,0.059509554140127395,0.065
35,0.05441481481481482,0.09,0.06645185686534058,0.09
36,0.08886002886002886,0.135,0.12780295555544963,0.135
37,0.0957593247825446,0.145,0.11915264092774742,0.145
38,0.022677871148459382,0.055,0.03502898550724638,0.055
39,0.06927270159083285,0.12,0.08733834107925319,0.12
40,0.152016125301482,0.16,0.23203388055577837,0.16
41,0.12671605576045908,0.15,0.20613228146122883,0.15
42,0.11975092781977775,0.145,0.18118681318681318,0.145
43,0.15285137085137085,0.17,0.202440991490936,0.17
44,0.16435131921218876,0.2,0.22604584859584861,0.2
45,0.1299273994809385,0.18,0.19124183006535947,0.18
46,0.24465956432873728,0.25,0.35019646040234276,0.25
47,0.20973038073038072,0.21,0.3267935064935065,0.21
48,0.14956084656084653,0.165,0.2199061355311355,0.165
49,0.08785012578766407,0.14,0.11491824082207577,0.14
50,0.09697935011325104,0.14,0.16188072933355951,0.14
51,0.15039657886716712,0.19,0.20663270063270062,0.19
52,0.06460996632996632,0.095,0.08248310319456564,0.095
53,0.11771066779726574,0.14,0.18379473886328726,0.14
54,0.2937080626572459,0.3,0.41035409695409697,0.3
55,0.23298742505511413,0.255,0.3391691483610988,0.255
56,0.23704610009873167,0.255,0.3490768014773997,0.255
57,0.07994075808829906,0.12,0.12127226551652623,0.12
58,0.329076923076923,0.3,0.4970917874396135,0.3
59,0.1277475292003594,0.155,0.2321367068566557,0.155
60,0.03604578754578755,0.055,0.06044943820224719,0.055
61,0.19172826004404953,0.205,0.28130252100840336,0.205
62,0.02496969696969697,0.08,0.030052292535051154,0.08
63,0.02631022746015324,0.065,0.045968556990454795,0.065
64,0.08927416775290975,0.14,0.09599517967377276,0.14
65,0.11766966366966367,0.17,0.15087960829493088,0.17
