Epoch,F1 Score,Accuracy,Precision,Recall
0,0.000784313725490196,0.02,0.0004,0.02
1,0.008808080808080808,0.03,0.0070790378006872845,0.03
2,0.0010004810004810006,0.01,0.0005333333333333334,0.01
3,0.000860215053763441,0.02,0.0004395604395604396,0.02
4,0.0007920792079207921,0.02,0.0004040404040404041,0.02
5,0.007024282202954919,0.05,0.003840568990042674,0.05
6,0.0008695652173913043,0.02,0.00044444444444444447,0.02
7,0.011323260073260073,0.04,0.0077406015037593985,0.04
8,0.0578930188585361,0.09,0.06626785714285714,0.09
9,0.07875884452664639,0.125,0.10092873792873792,0.125
10,0.1328349206349206,0.17,0.16883348958606775,0.17
11,0.03920352417776075,0.08,0.048836999821146934,0.08
12,0.13579292524114256,0.195,0.15943198005698006,0.195
13,0.02817903229667935,0.07,0.02576733682983683,0.07
14,0.11146602527824938,0.175,0.10944704653021084,0.175
15,0.09825188145188146,0.14,0.10238528138528138,0.14
16,0.07199195575666165,0.115,0.08357677105503193,0.115
17,0.037785156872113396,0.095,0.042172923902863514,0.095
18,0.11982867608581894,0.15,0.14769191919191918,0.15
19,0.17457871015249038,0.21,0.2137417913470545,0.21
20,0.22216616136476766,0.275,0.3056220656220656,0.275
21,0.19658401559454192,0.24,0.22865731225296443,0.24
22,0.0682281969238491,0.11,0.07087766928633801,0.11
23,0.14444041767146382,0.19,0.2024872612251958,0.19
24,0.2918079224904249,0.365,0.3114131365366659,0.365
25,0.02709132137703566,0.075,0.018709767356826182,0.075
26,0.07722384064737006,0.145,0.07875549152467311,0.145
27,0.3135079365079365,0.34,0.39847202797202796,0.34
28,0.22279963842032807,0.255,0.29478207045473553,0.255
29,0.12219905475787829,0.155,0.16202147074610843,0.155
30,0.08075360419397117,0.11,0.09263369963369962,0.11
31,0.13555108071597435,0.17,0.19755638210251864,0.17
32,0.1463389355742297,0.165,0.23388596491228072,0.165
33,0.07154268663987334,0.11,0.09252765029456757,0.11
34,0.2549719399374572,0.31,0.29847388167388167,0.31
35,0.32159466513878276,0.355,0.40799278172807585,0.355
36,0.43905507873619326,0.47,0.5037443528693528,0.47
37,0.2413874458874459,0.3,0.26351002506265664,0.3
38,0.36273481420540243,0.4,0.452259324009324,0.4
39,0.437576235358844,0.485,0.5277740183792815,0.485
40,0.34904933545986183,0.38,0.4164257382586902,0.38
41,0.28778595478595476,0.315,0.3735622465186193,0.315
42,0.25049600545437734,0.26,0.3497132789690929,0.26
43,0.2899215247118473,0.325,0.39229937534285353,0.325
44,0.2359716985523437,0.26,0.33344568841120564,0.26
45,0.4927547822547823,0.515,0.5661280193236715,0.515
46,0.44717578328104635,0.49,0.49858683473389354,0.49
47,0.4330214761084326,0.47,0.4845536960681273,0.47
48,0.3966237364286899,0.41,0.48657208374281546,0.41
49,0.5438725490196078,0.565,0.6099285714285714,0.565
50,0.28844710191769013,0.35,0.32812892336421745,0.35
51,0.13068995252059767,0.165,0.19262433862433861,0.165
52,0.3713244533244533,0.41,0.4895991002461591,0.41
53,0.472197926944057,0.51,0.5455854700854701,0.51
54,0.3557717380658557,0.41,0.4384893278909506,0.41
55,0.44907557193764086,0.49,0.5234738095238096,0.49
56,0.48995537211326684,0.535,0.5550079365079366,0.535
57,0.5658690198690198,0.59,0.6256746031746032,0.59
58,0.47316911846323606,0.51,0.5173457653457654,0.51
59,0.5825118149824032,0.59,0.6515331335331335,0.59
60,0.47429706355026047,0.485,0.5815322601375233,0.485
61,0.46148979908979904,0.495,0.5631507936507937,0.495
62,0.5011096681096681,0.52,0.5871349206349207,0.52
63,0.4515391806261371,0.47,0.5487823536113009,0.47
64,0.36921004921004924,0.42,0.4451806888763411,0.42
65,0.5788918041023303,0.6,0.6442936507936509,0.6
66,0.4629039555216026,0.505,0.5597918747918748,0.505
67,0.47934498576758644,0.515,0.5204055944055943,0.515
68,0.39292428273480906,0.435,0.4698253968253968,0.435
69,0.4903645143985701,0.52,0.5562606837606837,0.52
70,0.4783884220354808,0.495,0.6142913165266107,0.495
71,0.4508514524690995,0.475,0.5454063159063159,0.475
72,0.49320248489740015,0.49,0.586025974025974,0.49
73,0.5868664224664224,0.605,0.6578650793650794,0.605
74,0.3892002786485545,0.41,0.4634360410830999,0.41
75,0.4962041392767345,0.54,0.5910672438672439,0.54
76,0.3012135501355014,0.325,0.3815034431345791,0.325
77,0.40160883560883553,0.42,0.4907348111658456,0.42
78,0.544055167055167,0.57,0.6304047619047618,0.57
79,0.34512611073137384,0.365,0.45983087844388154,0.365
80,0.34591587301587295,0.39,0.4187156032373423,0.39
81,0.4699928132869309,0.48,0.55270353559484,0.48
82,0.5631786283891547,0.59,0.6186904761904762,0.59
83,0.5426216707269339,0.565,0.6355981240981241,0.565
84,0.44988999236058047,0.49,0.530639194139194,0.49
85,0.5642452284557548,0.6,0.6082460317460316,0.6
86,0.6866293706293706,0.695,0.7634960317460318,0.695
87,0.6306007326007326,0.63,0.7331746031746031,0.63
88,0.6398702408702408,0.665,0.7121507936507936,0.665
89,0.5984808459514341,0.63,0.6515241147741148,0.63
90,0.6090225563909775,0.63,0.694547619047619,0.63
91,0.6420733710733711,0.65,0.7365238095238095,0.65
92,0.6682698412698411,0.695,0.6984285714285714,0.695
93,0.6250609325315208,0.65,0.7231550671550673,0.65
94,0.6662900432900433,0.675,0.7464047619047619,0.675
95,0.6947448107448108,0.685,0.7861031746031746,0.685
96,0.689062715062715,0.695,0.7654314574314575,0.695
97,0.6707489119068066,0.68,0.7443174603174602,0.68
98,0.6127947549526498,0.62,0.7362727272727274,0.62
99,0.7088809523809523,0.72,0.7915952380952382,0.72
100,0.7024069264069263,0.705,0.7982878787878788,0.705
101,0.6304043218563343,0.635,0.7439871794871794,0.635
102,0.6238566930145877,0.635,0.712047619047619,0.635
103,0.6827259699364961,0.685,0.7732568542568543,0.685
104,0.7365924728865905,0.745,0.8127094017094018,0.745
105,0.6883044733044731,0.7,0.7566536796536798,0.7
106,0.7396608946608946,0.74,0.8038333333333333,0.74
107,0.6649444444444444,0.675,0.7635497835497835,0.675
108,0.6256587084413172,0.645,0.6732978279030911,0.645
109,0.6797546897546897,0.685,0.7846926406926407,0.685
110,0.6191123321123321,0.62,0.7485868347338935,0.62
111,0.6708169608169606,0.67,0.7638672438672439,0.67
112,0.6098901040479988,0.635,0.6981428571428571,0.635
113,0.6758715728715728,0.69,0.7552380952380952,0.69
114,0.5868199578199579,0.61,0.674138888888889,0.61
115,0.5727562379141325,0.6,0.6594862914862916,0.6
116,0.7295281385281385,0.735,0.7785259740259741,0.735
117,0.7088412698412696,0.715,0.7591666666666665,0.715
118,0.7408181818181819,0.75,0.7894761904761904,0.75
119,0.7325290265290265,0.735,0.7671111111111111,0.735
120,0.726276168276168,0.725,0.8180634920634922,0.725
121,0.7290057720057719,0.73,0.792595238095238,0.73
122,0.7168383838383839,0.72,0.7835476190476192,0.72
123,0.7252597402597403,0.73,0.8129285714285713,0.73
124,0.7223029193029191,0.73,0.7869761904761904,0.73
125,0.7567496490437666,0.755,0.8203046398046397,0.755
126,0.7101533758639021,0.71,0.7819999999999999,0.71
127,0.6945252525252524,0.705,0.751702380952381,0.705
128,0.7372539682539682,0.745,0.7985,0.745
129,0.6749870129870129,0.69,0.747047619047619,0.69
130,0.7038253968253966,0.71,0.7577878787878788,0.71
131,0.7306767676767676,0.735,0.8038333333333334,0.735
132,0.6624529914529914,0.68,0.7311428571428571,0.68
133,0.733987012987013,0.74,0.8056428571428572,0.74
134,0.7213692973692973,0.73,0.7783571428571429,0.73
135,0.7518412698412696,0.76,0.8059999999999999,0.76
136,0.7271471861471859,0.73,0.7802380952380952,0.73
137,0.7388210678210676,0.745,0.7951904761904762,0.745
138,0.7110400155400154,0.72,0.7805555555555556,0.72
139,0.7357564657564657,0.74,0.8097222222222221,0.74
140,0.7650345210345209,0.77,0.8193333333333334,0.77
141,0.7265873015873016,0.735,0.7815000000000001,0.735
142,0.7109176379176378,0.715,0.7824047619047618,0.715
143,0.7363815628815629,0.735,0.8164999999999999,0.735
144,0.7431257631257631,0.75,0.816888888888889,0.75
145,0.7399801309801309,0.74,0.807484126984127,0.74
146,0.7448571428571427,0.745,0.8173333333333334,0.745
147,0.7267781107781107,0.735,0.803010101010101,0.735
148,0.7329045496986671,0.73,0.7992967032967031,0.73
149,0.7263294979873927,0.725,0.7984285714285714,0.725
150,0.7224025974025973,0.725,0.7875021645021646,0.725
151,0.7578196248196246,0.76,0.8131666666666665,0.76
152,0.7598975468975468,0.765,0.8134761904761905,0.765
153,0.7441212121212121,0.75,0.7973333333333333,0.75
154,0.7346017316017314,0.74,0.7909047619047618,0.74
155,0.735974358974359,0.74,0.7973888888888888,0.74
156,0.7589291819291819,0.76,0.8269393939393939,0.76
157,0.7717041847041847,0.77,0.8424285714285713,0.77
158,0.7647619047619046,0.765,0.8161666666666666,0.765
159,0.7482582972582971,0.75,0.7981774891774891,0.75
160,0.7844444444444444,0.785,0.8281666666666666,0.785
161,0.7828815628815629,0.785,0.8306060606060606,0.785
162,0.7713577533577534,0.775,0.8253333333333334,0.775
163,0.7743101343101341,0.775,0.824,0.775
164,0.7523260073260072,0.75,0.814047619047619,0.75
165,0.7645454545454545,0.765,0.8269285714285713,0.765
166,0.7765454545454544,0.775,0.8342012987012987,0.775
167,0.7718787878787877,0.77,0.8309285714285712,0.77
168,0.7636333666333666,0.765,0.8204285714285713,0.765
169,0.7611095571095571,0.76,0.8227012987012986,0.76
170,0.754151404151404,0.755,0.8166666666666665,0.755
171,0.7514361847303023,0.75,0.8114871794871794,0.75
172,0.7626910866910867,0.76,0.8186666666666667,0.76
173,0.7555598845598844,0.755,0.8155714285714284,0.755
174,0.7496383159324335,0.75,0.8077252747252747,0.75
175,0.7544285714285713,0.755,0.8096666666666665,0.755
176,0.742087912087912,0.745,0.7973333333333333,0.745
177,0.7554704184704184,0.76,0.8109999999999999,0.76
178,0.7565974025974025,0.76,0.8112727272727273,0.76
179,0.7518021978021976,0.75,0.8066060606060604,0.75
180,0.7515323565323564,0.75,0.7956060606060604,0.75
181,0.7560952380952379,0.755,0.7994393939393939,0.755
182,0.7589090909090908,0.76,0.8059047619047619,0.76
183,0.7699567099567097,0.77,0.8199047619047619,0.77
184,0.7636349206349204,0.765,0.8205,0.765
185,0.758040293040293,0.76,0.8136666666666666,0.76
186,0.7384365079365078,0.74,0.8046666666666665,0.74
187,0.7462655122655122,0.75,0.7968571428571427,0.75
188,0.7491861471861471,0.755,0.8009177489177488,0.755
189,0.7588931068931067,0.765,0.7975238095238094,0.765
190,0.7672958152958153,0.77,0.8012727272727272,0.77
191,0.7776666666666666,0.775,0.832439393939394,0.775
192,0.7623894993894993,0.76,0.8263333333333333,0.76
193,0.7553101343101342,0.755,0.8163333333333332,0.755
194,0.7673809523809523,0.765,0.8191060606060606,0.765
195,0.7609206349206348,0.76,0.8106666666666666,0.76
196,0.768031746031746,0.765,0.8219999999999998,0.765
197,0.7637777777777778,0.76,0.8172727272727272,0.76
198,0.7706349206349207,0.77,0.8226666666666667,0.77
199,0.7707460317460315,0.77,0.8223333333333334,0.77
200,0.762063492063492,0.76,0.8186060606060606,0.76
201,0.7662857142857142,0.765,0.8199999999999998,0.765
202,0.7658730158730157,0.765,0.8213333333333332,0.765
203,0.7551803751803751,0.755,0.8188225108225108,0.755
204,0.771095238095238,0.77,0.8296060606060606,0.77
205,0.7713968253968253,0.77,0.8326666666666666,0.77
206,0.7719682539682539,0.77,0.825939393939394,0.77
207,0.7664285714285712,0.765,0.8223333333333332,0.765
208,0.7667777777777777,0.765,0.8236060606060606,0.765
209,0.7681111111111109,0.765,0.8269999999999998,0.765
210,0.7674285714285712,0.765,0.8266666666666665,0.765
211,0.7607142857142856,0.76,0.8156666666666665,0.76
212,0.7577430347430346,0.755,0.8108441558441558,0.755
213,0.7667777777777777,0.765,0.8216666666666665,0.765
214,0.7574414474414471,0.755,0.8145714285714284,0.755
215,0.7655958485958485,0.765,0.8163333333333332,0.765
216,0.7709523809523808,0.77,0.8259393939393938,0.77
217,0.7663968253968254,0.765,0.8216060606060606,0.765
218,0.7614025974025974,0.76,0.8207012987012986,0.76
219,0.7671962481962481,0.765,0.8264285714285714,0.765
220,0.7665295815295814,0.765,0.8257619047619046,0.765
221,0.7663968253968253,0.765,0.8223333333333332,0.765
222,0.7684285714285715,0.765,0.8243333333333334,0.765
223,0.7666666666666664,0.765,0.8313333333333334,0.765
224,0.762212121212121,0.76,0.829095238095238,0.76
225,0.7563015873015873,0.755,0.8136666666666666,0.755
226,0.7614126984126984,0.76,0.814939393939394,0.76
227,0.7603968253968253,0.76,0.8143333333333334,0.76
228,0.7525555555555556,0.75,0.813,0.75
229,0.7625714285714286,0.76,0.8266666666666665,0.76
230,0.7516349206349205,0.75,0.8083333333333335,0.75
231,0.7576825396825397,0.755,0.8219999999999998,0.755
232,0.758015873015873,0.755,0.8183333333333332,0.755
233,0.755984126984127,0.755,0.8109999999999999,0.755
234,0.7564603174603174,0.755,0.8143333333333334,0.755
235,0.7574603174603173,0.755,0.8166666666666668,0.755
236,0.7607460317460317,0.76,0.8123333333333332,0.76
237,0.7567142857142857,0.755,0.8136666666666666,0.755
238,0.7519523809523808,0.75,0.8069999999999999,0.75
239,0.7565396825396824,0.755,0.812,0.755
240,0.7564444444444444,0.755,0.8146666666666665,0.755
241,0.7506507936507936,0.75,0.8157878787878787,0.75
242,0.7522063492063491,0.75,0.8136666666666666,0.75
243,0.7573650793650792,0.755,0.8193333333333332,0.755
244,0.7565238095238094,0.755,0.8136666666666666,0.755
245,0.7583015873015873,0.755,0.8142727272727273,0.755
246,0.7615555555555555,0.76,0.8213333333333332,0.76
247,0.7579047619047619,0.755,0.8119999999999998,0.755
248,0.7519682539682538,0.75,0.8099999999999998,0.75
249,0.7617777777777777,0.76,0.8213333333333332,0.76
250,0.7609682539682538,0.76,0.8183333333333332,0.76
251,0.7616825396825396,0.76,0.824,0.76
252,0.7571111111111111,0.755,0.8173333333333334,0.755
253,0.7517301587301587,0.75,0.8103333333333333,0.75
254,0.7454126984126984,0.745,0.7996666666666666,0.745
255,0.7564285714285716,0.755,0.8123333333333332,0.755
256,0.7583867243867242,0.755,0.8174285714285713,0.755
257,0.7568888888888888,0.755,0.8173333333333334,0.755
258,0.7573174603174603,0.755,0.8143333333333332,0.755
259,0.7524285714285713,0.75,0.8103333333333333,0.75
260,0.7705555555555555,0.77,0.825,0.77
261,0.76710101010101,0.765,0.8303679653679653,0.765
262,0.753126984126984,0.75,0.8136666666666668,0.75
263,0.7526190476190474,0.75,0.8136666666666666,0.75
264,0.7564126984126983,0.755,0.814,0.755
265,0.7518888888888888,0.75,0.8123333333333334,0.75
266,0.757111111111111,0.755,0.8126666666666665,0.755
267,0.7612222222222222,0.76,0.8156666666666667,0.76
268,0.7564444444444444,0.755,0.816,0.755
269,0.7622857142857141,0.76,0.8193333333333332,0.76
270,0.7628571428571428,0.76,0.8186666666666668,0.76
271,0.7626666666666666,0.76,0.8193333333333334,0.76
272,0.7558571428571428,0.755,0.8177878787878788,0.755
273,0.7583492063492063,0.755,0.8187878787878787,0.755
274,0.7567936507936507,0.755,0.8140000000000001,0.755
275,0.7613492063492062,0.76,0.8196666666666667,0.76
276,0.7597301587301587,0.76,0.8176666666666665,0.76
277,0.7605555555555555,0.76,0.819,0.76
278,0.7519999999999999,0.75,0.812,0.75
279,0.7579047619047619,0.755,0.8180000000000001,0.755
280,0.7576825396825397,0.755,0.818,0.755
281,0.7626031746031745,0.76,0.8240000000000001,0.76
282,0.7582380952380952,0.755,0.8190000000000001,0.755
283,0.7627619047619046,0.76,0.8226666666666665,0.76
284,0.7564603174603174,0.755,0.8143333333333334,0.755
285,0.7559999999999999,0.755,0.8146666666666667,0.755
286,0.7622222222222221,0.76,0.8192727272727274,0.76
287,0.7588412698412698,0.755,0.8183333333333332,0.755
288,0.7616406926406926,0.76,0.8203679653679654,0.76
289,0.7533492063492063,0.75,0.8136666666666668,0.75
290,0.7528065268065266,0.75,0.8125714285714285,0.75
291,0.7542756132756132,0.75,0.8184285714285713,0.75
292,0.7580202020202019,0.755,0.8199047619047619,0.755
293,0.7609999999999998,0.76,0.8203333333333331,0.76
294,0.7572698412698412,0.755,0.8173333333333334,0.755
295,0.7636825396825396,0.76,0.82,0.76
296,0.766095238095238,0.765,0.8186060606060604,0.765
297,0.761984126984127,0.76,0.8183333333333332,0.76
298,0.7524603174603175,0.75,0.8116666666666665,0.75
299,0.758015873015873,0.755,0.8176666666666667,0.755
